Stock,Short WMA,Long WMA,Final Balance,Net Profit
ADANIPORTS,15,40,5191.6366665,191.6366664999996
APOLLOHOSP,15,40,5580.464696884474,580.4646968844736
ASIANPAINT,15,20,5540.216734268577,540.216734268577
AXISBANK,5,20,4957.12217779321,-42.87782220679037
BAJAJ-AUTO,15,20,6354.069207386285,1354.0692073862847
BAJAJFINSV,10,40,5141.410856442058,141.4108564420576
BAJFINANCE,10,20,6890.862322206919,1890.862322206919
BHARTIARTL,5,20,5222.585519345335,222.58551934533534
BPCL,15,40,4998.705588885165,-1.294411114835384
BRITANNIA,10,20,6140.240615155786,1140.2406151557861
CIPLA,15,40,5054.97647073636,54.97647073636017
COALINDIA,15,40,5021.811162000001,21.811162000000877
DIVISLAB,15,30,5290.512126060714,290.51212606071385
DRREDDY,10,30,5033.469267654099,33.469267654098985
EICHERMOT,5,20,5339.641810706639,339.64181070663926
GRASIM,5,20,5232.61609610832,232.61609610831965
HCLTECH,10,30,5186.46850235623,186.4685023562297
HDFCBANK,5,40,5253.61839793483,253.61839793482977
HDFCLIFE,5,30,4963.573094266553,-36.4269057334468
HEROMOTOCO,15,40,5586.782905649593,586.782905649593
HINDALCO,10,40,5002.6011193724,2.6011193723998076
HINDUNILVR,15,30,5372.736493763001,372.7364937630009
ICICIBANK,5,20,5118.964224115374,118.96422411537424
INDUSINDBK,5,20,4929.394294583157,-70.6057054168432
INFY,10,40,5047.2940613197225,47.29406131972246
ITC,5,40,4972.370382260867,-27.62961773913321
JSWSTEEL,5,20,5011.514354608665,11.51435460866469
KOTAKBANK,15,40,5330.6907063409035,330.6907063409035
LT,15,40,5501.397328891154,501.39732889115385
M&M,5,40,5245.516259111692,245.5162591116923
MARUTI,15,30,6005.924860297705,1005.924860297705
NESTLEIND,15,40,5231.302408694437,231.30240869443696
NTPC,5,30,4992.92555420114,-7.074445798860324
ONGC,15,40,5023.006290863946,23.00629086394565
POWERGRID,5,30,4998.473685855163,-1.5263141448367605
RELIANCE,5,40,4937.821087841931,-62.17891215806867
SBILIFE,5,40,5028.63797392433,28.637973924330254
SBIN,10,40,5033.0523096,33.05230959999972
SHREECEM,5,20,5762.441183163717,762.4411831637171
SUNPHARMA,10,40,5034.505893219241,34.50589321924144
TATAMOTORS,10,40,4980.8766012651995,-19.123398734800503
TATASTEEL,15,30,4957.221105570045,-42.77889442995456
TCS,10,40,5416.9697740217225,416.9697740217225
TECHM,5,20,5111.433122911945,111.43312291194525
TITAN,15,20,5154.839050316361,154.83905031636095
ULTRACEMCO,5,30,5121.9821936607195,121.98219366071953
UPL,15,20,5020.923974314162,20.92397431416157
WIPRO,10,40,5012.834227295126,12.834227295125856
